country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Norway,NO,NOR,5328212,126,0,10/1/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,9/19/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,100,5,6/16/2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,59,0,3/29/2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,223,2,9/30/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,6/7/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,6/14/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,139,4,9/14/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,305,11,5/26/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,7/18/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,9/15/2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,48,1,3/26/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,5397,93,10/9/2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,184,1,9/27/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,49,22,6/1/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,8,0,8/19/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,3/9/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,24,2,5/19/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,510,3,8/22/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,30,0,6/24/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,9,0,3/20/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,4,0,7/27/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,219,6,7/10/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,4,0,5/13/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,22,0,9/15/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,59,2,5/1/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2,0,8/5/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,68,1,6/19/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,83,13,6/6/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,160,0,10/24/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,511,10,9/8/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,106,0,9/17/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,306,10,7/24/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,1,0,6/30/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,408,7,7/12/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,5/26/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,778,49,3/7/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,785,395,4/20/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,258,11,9/8/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,10489,66,10/7/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,7,0,6/15/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,8/24/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,0,0,1/22/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,62,2,2/23/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2,0,7/17/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,14,0,8/24/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,2/24/2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,460,5,10/3/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,12,0,7/3/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,10/8/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,169,9,8/23/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,3,0,9/9/2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,5/18/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,14,0,6/14/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,1/2/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,1/20/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,193,8,8/14/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,0,2/6/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,9,0,3/22/2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,6,0,10/14/2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,25,0,6/27/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,99,25,4/24/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,213,7,5/21/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,5,0,6/2/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,371,3,10/13/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,8/6/2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,9/27/2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,202,2,8/26/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2456,79,4/3/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,321,7,7/31/2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,1,0,6/22/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,379,10,6/2/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,748,5,9/22/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,504,21,5/9/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,2/29/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,0,2/14/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,819,18,7/11/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,7/26/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,125,0,8/28/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1,0,3/12/2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,33,0,3/31/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,132,12,6/30/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,6/3/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,22,2,5/20/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,8/3/2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,220,1,7/2/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,435,22,4/8/2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,9/4/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,6/16/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,301,2,6/28/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,2/9/2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,191,0,9/26/2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,13,0,3/25/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,1/27/2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,5,0,3/13/2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,0,0,3/5/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,976,156,4/24/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,1/21/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,69,3,10/5/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,0,0,2/15/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,43,0,3/28/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,15,0,8/25/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,2/11/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,508,6,6/24/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,1/26/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,1,0,6/25/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,379,2,6/7/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,1/25/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,59,12,4/19/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,1/5/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,57,0,8/27/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,1,0,3/6/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,506,5,8/22/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,183,5,8/24/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,10/3/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,50,2,4/14/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,123,5,9/5/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,5/29/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,2/26/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,111,0,10/15/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2,0,4/8/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,1/4/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,1,0,2/2/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,9,0,7/31/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,1/3/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,3,0,3/3/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,667,26,5/10/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,28,0,7/4/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,2/7/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,362,47,5/27/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,6,0,4/16/2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,2/25/2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,177,3,10/22/2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,214,0,7/27/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,8/19/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,6/13/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,88,0,9/30/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,222,2,10/22/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,15,0,4/15/2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,3/5/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,1/3/2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,6/26/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,219,0,10/24/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,13,0,5/21/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,835,9,9/30/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,2/26/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2599,292,3/30/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,518,1,10/24/2020,"Epidemic intelligence, national daily data"
