country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Faroes,,,48865,0,0,8/23/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,8/7/2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,865,6,10/22/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,1/23/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,20,0,7/17/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,37,0,8/28/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,6,0,8/7/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,1144,163,4/28/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,13,0,4/2/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2,0,10/9/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,0,0,1/26/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,100,1,10/1/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,10,0,7/9/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,34,1,5/26/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,380,2,8/8/2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,3087,5,10/17/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,478,8,4/26/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1141,32,5/25/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,0,0,1/25/2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,4070,41,4/18/2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,7/13/2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,9,0,6/18/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,0,2/13/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,1,0,3/5/2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,53,0,9/3/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,8/11/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,320,2,3/23/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,666,3,7/14/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,2/7/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,0,0,1/5/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2,0,3/13/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,5/31/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,9,0,3/9/2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,7/25/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,700,60,5/9/2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,0,0,2/24/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,0,0,2/13/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,0,2/4/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,153,7,3/27/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,0,2/9/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,154,5,8/14/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,391,9,7/23/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,6/27/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,1589,13,10/24/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,1/5/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,1/4/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,457,3,10/10/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,477,1,8/29/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,309,2,8/2/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,1/6/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,173,6,7/23/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,536,1,10/3/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,150,2,9/22/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,70,34,5/22/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,322,4,10/7/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,84,4,8/19/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,535,3,8/28/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,1,0,3/4/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,1/31/2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,4/12/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,10/25/2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2/16/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,3/31/2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,22,0,6/27/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,6/10/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,2/16/2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,91,3,6/27/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,1/18/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,3/4/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,3,0,9/22/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,2/18/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,200,8,9/22/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,9,0,8/1/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,1/13/2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,411,2,10/2/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,3/5/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,0,2/28/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,5/30/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,6/15/2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,17,0,6/8/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1369,10,9/9/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,1695,9,8/6/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,14,0,5/21/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,38,1,4/10/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,808,3,10/14/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,7/16/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,2/10/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,54,1,10/7/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,3304,16,8/26/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,1/5/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,7,0,8/15/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,26,0,8/13/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,214,0,9/2/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,337,5,7/28/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1615,58,10/9/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,0,2/24/2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,1,0,5/9/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,5/24/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,74,1,6/7/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,1208,16,10/14/2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,0,0,2/10/2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,5/11/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,28,0,4/28/2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,14,0,4/11/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,4706,969,4/29/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,0,2/3/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,3/16/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,5/5/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,0,0,9/12/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1443,18,8/25/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,8/29/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,21,0,6/3/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,1/4/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,478,7,6/23/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,8/10/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,161,0,7/3/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,97,2,9/2/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,7/18/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,6,0,3/14/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,91,2,4/25/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,148,2,9/20/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,221,7,7/9/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,226,1,7/22/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,112,0,8/6/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,21,0,4/12/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,1/11/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,2/12/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,169,0,9/27/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,7,1,4/25/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,0,0,9/2/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,15,0,3/16/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,43,0,8/26/2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,15,0,8/5/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,186,1,8/19/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,6/5/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,9/4/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,49,0,9/18/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,1/20/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,0,7/21/2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,6,0,5/21/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,50,8,5/10/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2313,196,3/12/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,40,1,6/8/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,1,0,5/26/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2/15/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,2,0,10/16/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2,0,4/25/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,3,0,3/18/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,412,4,7/14/2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,1,0,7/31/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,133,0,7/26/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,8,0,3/18/2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,10/6/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,2/25/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,1/30/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,101,4,4/27/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,7/16/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,1/8/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,2/3/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,65,2,3/29/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,1/29/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,4611,319,3/29/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,115,35,5/25/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,17,0,9/8/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,397,14,6/21/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,658,25,7/11/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,509,4,10/11/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,1/28/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,0,0,1/18/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1442,63,10/3/2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,9/28/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,1/21/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1,0,2/5/2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,0,1/26/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,7/19/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,2/5/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,645,86,4/10/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1212,18,8/13/2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,479,92,4/15/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,382,7,10/12/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,1856,19,10/19/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,1/15/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,388,8,7/1/2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,9,0,6/29/2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2,0,3/3/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,4729,769,4/30/2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,29,0,7/25/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,0,3/2/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,1660,0,4/27/2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,7099,101,5/1/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,730,53,7/1/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1099,195,6/10/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,12,0,3/18/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,160,12,10/20/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,69,0,6/10/2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,0,0,10/5/2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,1044,6,3/24/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,273,2,4/4/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,263,7,10/2/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,159,20,6/4/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,469,40,3/22/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,26,1,7/2/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,1/15/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,76,0,8/10/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,115,1,3/13/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,954,5,5/25/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,2/5/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,76,16,9/1/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,10/18/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,9/7/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,126,3,9/1/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,7/24/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,1/17/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,30,1,3/22/2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,1,5/26/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,0,0,2/17/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,6/23/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,91,0,3/22/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,7/27/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,118,4,7/21/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,3,0,7/11/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,16,0,6/1/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,135,4,7/22/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,1709,6,9/19/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,19,1,6/27/2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,60,0,7/16/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,5/2/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,67,3,3/28/2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,1759,5,10/24/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,1/8/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,131,0,10/19/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2,0,9/23/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,6/15/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,9/29/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,54,13,4/14/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,379,53,6/12/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,833,14,10/25/2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,1066,83,4/20/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,81,11,6/25/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,5/6/2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,1,0,1/29/2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,25,0,8/31/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,35,1,4/4/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,1,0,4/20/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,4,0,8/22/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,9/30/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,818,20,10/6/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,25,0,9/17/2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,3,0,8/19/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,3,0,3/17/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,340,0,7/27/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,2/3/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,13,0,7/14/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,5/10/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2,0,6/8/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,119,3,9/5/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,214,0,10/16/2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,1104,132,3/30/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,5/17/2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,3977,127,4/20/2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,707,1,10/15/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,565,17,7/12/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,49,0,3/19/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,1/11/2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,0,3/9/2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,97,0,7/5/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,6/1/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,1/12/2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,1037,2,10/9/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1813,12,9/6/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,135,10,7/23/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,68,0,3/20/2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,148,0,7/26/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,652,87,5/17/2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,4/25/2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,1616,27,8/18/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,66,1,6/11/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,2/25/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,83,0,8/26/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,6/17/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,2/3/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,77,2,5/24/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,112,0,8/17/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,43,2,6/5/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,282,6,4/5/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,177,3,9/12/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,161,0,4/8/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,30,0,4/24/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,115,5,7/29/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,9/23/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,757,2,9/20/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,182,3,10/4/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,3/15/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,344,12,9/24/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,1836,20,10/22/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,2/20/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,20,0,3/23/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,1/12/2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,2/21/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,43,0,10/20/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,37,2,4/20/2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,5/6/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,3,0,10/24/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,6,0,6/18/2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,29,2,9/30/2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,128,0,9/11/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2,0,6/3/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,1/29/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,9/10/2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,1/31/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,37,0,8/9/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,70,12,4/22/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,89,0,10/11/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,11,0,5/15/2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,2/1/2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,5/13/2020,"Epidemic intelligence, national daily data"
